CNT_CODE,CURRENCY,EX_RATE,EX_AVG,SEARCH_SCORE,EX_SCORE,DT_SCORE
JP,JPY,895.0,950.0,3.85,3.57,6.5
CN,CNY,191.0,193.0,4.96,2.32,5.9
VN,VND,6.0,6.0,4.57,2.05,10.0
TH,THB,39.0,39.0,4.33,2.05,6.3
PH,PHP,26.0,25.0,4.52,1.0,4.7
HK,HKD,170.0,170.0,0.0,2.05,3.9
TW,TWD,47.0,47.0,1.92,2.05,7.6
MO,MOP,161.0,166.0,0.0,2.84,8.3
SG,SGD,993.0,992.0,2.38,2.03,6.3
MY,MYR,299.0,307.0,4.99,2.74,3.7
ID,IDR,9.0,9.0,3.92,2.05,4.0
KH,KHR,0.32,0.32,5.0,2.05,3.0
TR,TRY,45.0,66.0,4.86,5.0,9.8
IN,INR,16.0,17.0,0.0,3.6,5.0
MN,MNT,0.37,0.44,1.0,4.5,6.3
MM,MMK,0.62,0.63,0.0,2.47,5.2
ES,EUR,1446.0,1442.0,4.97,1.98,8.4
DE,EUR,1446.0,1442.0,0.0,1.98,6.4
GB,GBP,1676.0,1657.0,0.0,1.75,6.1
US,USD,1322.0,1330.0,4.94,2.21,6.1
CA,CAD,979.0,987.0,0.0,2.27,6.3
MX,MXN,75.0,81.0,0.0,4.0,6.8
AU,AUD,877.0,885.0,0.0,2.29,7.1
NZ,NZD,819.0,817.0,0.0,1.99,5.9
