CNT_NAME,CNT_CODE,CURRENCY,EXCHANGE_RATE,SEARCH_VOL
일본,JP,JPY,895,8586938
중국,CN,CNY,191,0
베트남,VN,VND,6,1731905
태국,TH,THB,39,1238627
필리핀,PH,PHP,26,803244
홍콩,HK,HKD,170,471672
대만,TW,TWD,47,2181095
마카오,MO,MOP,161,0
싱가포르,SG,SGD,993,1500803
말레이시아,MY,MYR,299,8281
인도네시아,ID,IDR,9,410768
캄보디아,KH,KHR,0.32,6154
터키,TR,TRY,45,25642
인도,IN,INR,16,0
몽골,MN,MNT,0.37,247366
미얀마,MM,MMK,0.62,0
스페인,ES,EUR,1446,67528
독일,DE,EUR,1446,0
영국,GB,GBP,1676,0
슬로베니아,SI,EUR,1446,0
러시아,RU,RUB,14,0
미국,US,USD,1322,136940
캐나다,CA,CAD,979,0
멕시코,MX,MXN,82,0
오스트레일리아,AU,AUD,877,0
뉴질랜드,NZ,NZD,819,0
