CNT_NAME,EMI,YEAR,MONTH,CNT_CODE
일본,466810,2023,3,JP
중국,249385,2023,3,CN
베트남,250649,2023,3,VN
태국,115038,2023,3,TH
필리핀,107406,2023,3,PH
홍콩,19312,2023,3,HK
대만,52300,2023,3,TW
마카오,4851,2023,3,MO
싱가포르,35396,2023,3,SG
말레이시아,29698,2023,3,MY
인도네시아,21512,2023,3,ID
캄보디아,13056,2023,3,KH
터키,7974,2023,3,TR
이스라엘,4900,2023,3,IL
몰디브,2810,2023,3,MV
스리랑카,479,2023,3,LK
독일,13004,2023,3,DE
오스트리아,9797,2023,3,
슬로베니아,2772,2023,3,SI
보스니아,62,2023,3,BA
핀란드,640,2023,3,FI
북마케도니아,59,2023,3,MK
세르비아,1,2023,3,RS
남아프리카,692,2023,3,ZA
미국,106087,2023,3,US
캐나다,5458,2023,3,CA
도미니카공화국,1116,2023,3,DO
자메이카,10,2023,3,JM
코스타리카,285,2023,3,CR
멕시코,6983,2023,3,MX
호주,19050,2023,3,AU
사이판,9356,2023,3,MP
괌,36428,2023,3,GU
뉴질랜드,4498,2023,3,NZ
팔라우,64,2023,3,PW
피지,80,2023,3,FJ
